ids,date,user,replyCount,retweetCount,likeCount,lang,text,country,sentiment
1512459198356930564,2022-04-08 15:55:47+00:00,bmsodonon,0,0,0,fr,"#Ukraine. La grande #MANIPULATION.
Les vrais #enjeux qu'on ne dit pas et qui justifient l'attitude de la #Russie. 
Cette carte démontre que l'#Agresseur n'est pas qui l'on croit.
https://t.co/2tNDJvMqy4",Ukraine,0
1512459195962040332,2022-04-08 15:55:47+00:00,OHFNews,0,0,0,pt,"#URGENTE 🇪🇺🇺🇦 A presidente da Comissão Europeia, Ursula von der Leyen, e o chefe da diplomacia do bloco, Josep Borrell, já estão em #Kiev. #Ukraine 
https://t.co/cet5Y419Cc",Ukraine,1
1512459195865513984,2022-04-08 15:55:47+00:00,A_L_E_X_V_E_G_A,0,0,0,en,Ukraine war disruptions send food prices to their highest ever https://t.co/FMOmKJdz25 via @AJEnglish,Ukraine,1
1512459194770808837,2022-04-08 15:55:46+00:00,MoreauS38805983,0,0,0,fr,"@jkriss33 @Ru5tY_68 @Mediavenir Un faux prétexte...pouhaaa https://t.co/hW4kaWD1Xx morts   20 biolabos ou on conçoit des armes chimiques ,Ukraine le pays d Europe ou il y a le plus grand trafic d enfants et d organes, plus leur commandos néo-nazis...mon pauvre..tu devrais te la fermer",Ukraine,1
1512459194447843342,2022-04-08 15:55:46+00:00,CharleneFFreem1,0,0,0,en,"💥HOW CAN THIS BE POSSIBLE ???
PUTIN &amp; HIS SAVAGE MISFITS ARE SLAUGHTERING INNOCENT PEOPLE IN UKRAINE. THERE IS ABSOLUTE PROOF. https://t.co/oShNSc2uJq",Ukraine,1
1512459192325578752,2022-04-08 15:55:46+00:00,Harvard_Europe,0,0,0,en,"We recently hosted a conversation on ""Germany and Europe’s Reaction to the Ukraine Crisis: Implications for the West"" with @ischinger, @D_Schwarzer, &amp;  @Joe_Nye, moderated by Karl Kaiser. 

""Was Feb 24 a turning point in Europe? Absolutely.""

WATCH: https://t.co/SCTpe8jaVw",Ukraine,1
1512459191864246278,2022-04-08 15:55:46+00:00,liamwes19,1,0,0,en,The president of Russia Putin has broken the core principles of international law by invading Ukraine. #jm4006 #tweetexcercisetwo,Ukraine,0
1512459190370856960,2022-04-08 15:55:45+00:00,berbacurr,0,0,0,en,@Caucasuswar Second strongest military in the world or just second strongest military in Ukraine? 🤔,Ukraine,1
1512459189620252677,2022-04-08 15:55:45+00:00,cbunsduckman,0,0,0,en,"@TGTM_Official oh, and Ukraine.",Ukraine,0
1512459188898836486,2022-04-08 15:55:45+00:00,ChrisJustice01,0,0,0,en,@systemkallops @IAPonomarenko Russia invaded Ukraine. Putin is a war criminal committing atrocities on innocent civilians. Stop Putin. Stand with Ukraine.,Ukraine,0
1512459188739481601,2022-04-08 15:55:45+00:00,liamwes19,1,0,0,en,The 24th of February is when the Russians invaded Ukraine and started this horrible war. #jm4006 #tweetexcercisetwo,Ukraine,0
